exercise_name,base_name,main_muscle_clean,muscle_category,equipment_clean,difficulty_level,is_compound,is_priority,is_variation,target_muscles_list,synergist_muscles_list,secondary_muscles_list,stabilizer_muscles_list,execution,preparation
Lateral Neck Flexion,lateral neck flexion,neck,other,suspension trainer,beginner,False,False,False,['sternocleidomastoid'],"['splenius', 'trapezius', 'upper', 'erector spinae', 'cervicis & capitis fibers']","['sternocleidomastoid', 'levator scapulae']",[],Lower angle of body by tilting head to side of suspension trainer. Increase angle of body by tilting head away from side of suspension trainer. Repeat and continue in opposite position.,Place belt or strap around end of suspension trainer. Hold belt in hand and stand away from suspension trainer so it hangs to one side. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to head above ear closest to suspension trainer. Step further away from suspension trainer until it is taut. Lean away at angle against support of belt and suspension trainer by positioning feet closer to side of suspension trainer while keeping head and body straight.
Neck Extension,neck extension,neck,other,cable,beginner,False,False,False,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers', 'sternocleidomastoid', 'posterior fibers']","['upper trapezius', 'splenius']","['pectoralis major', 'sternal', 'pectoralis major', 'clavicular', 'pectoralis minor', 'latissimus dorsi', 'rhomboids', 'triceps brachii', 'coracobrachialis']",Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.
Neck Extension,neck extension,neck,other,machine,beginner,False,False,False,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers', 'sternocleidomastoid', 'posterior fibers']","['upper trapezius', 'splenius']","['pectoralis major', 'sternal', 'pectoralis major', 'clavicular', 'pectoralis minor', 'serratus anterior', 'deltoid', 'anterior', 'triceps brachii', 'coracobrachialis']",Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.
Neck Extension,neck extension,neck,other,machine,beginner,False,False,False,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers', 'sternocleidomastoid', 'posterior fibers']","['upper trapezius', 'splenius']","['pectoralis major', 'sternal', 'pectoralis major', 'clavicular', 'pectoralis minor', 'serratus anterior', 'deltoid', 'anterior', 'triceps brachii', 'coracobrachialis']",Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.
Seated Neck Extension,seated neck extension,neck,other,weighted,beginner,False,False,False,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers', 'sternocleidomastoid', 'posterior fibers']","['upper trapezius', 'splenius']",['no significant stabilizers'],Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort."
Seated Neck Extension:  Harness,seated neck extension,neck,other,weighted,intermediate,False,False,True,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers', 'sternocleidomastoid', 'posterior fibers']","['upper trapezius', 'splenius']",['no significant stabilizers'],Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.
Neck Retraction,neck retraction,neck,other,resistance band,beginner,False,False,False,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers', 'sternocleidomastoid', 'posterior fibers']","['splenius', 'upper trapezius']",['no significant stabilizers'],Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.
Wall Rear Neck Bridge,wall rear neck bridge,neck,other,bodyweight,intermediate,False,False,False,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'sternocleidomastoid', 'posterior fibers', 'erector spinae', 'quadriceps']","['upper trapezius', 'erector spinae']",['gluteus maximus'],Push head back into mat and roll head upward. Arch spine and straighten knees. Hyperextend neck so head is facing up. Return to original position by rolling head down while allowing low back to straighten and knees to bend slightly. Continue down until back of head and shoulders make contact with mat. Repeat.,Hold small or folded cushioned mat behind head. Facing away from wall or column position head and back of shoulders low on wall or column with mat between. Stand with feet far away from wall or column so body is angled back. Position hips and back straight and bend knees just slightly. Place arms to side or hold hands on abdomen.
Lying Neck Retraction,lying neck retraction,neck,other,bodyweight,beginner,False,False,False,['splenius'],"['trapezius', 'upper', 'levator scapulae', 'erector spinae', 'cervicis & capitis fibers', 'longus capitis', 'longus colli', 'rectus capitus']","['splenius', 'upper trapezius']",[],Push head into mat and hold position. Relax and repeat.,Lie supine on mat.
Neck Extension,neck extension,neck,other,suspension trainer,beginner,False,False,False,['splenius'],"['trapezius', 'upper (part 1)', 'erector spinae', 'cervicis & capitis fibers']","['upper trapezius', 'splenius']",[],Lower angle of body by bowing head until chin is near upper chest. Increase angle of body by raising head. Repeat.,Place belt or strap around end of suspension trainer. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to forehead. Step back facing direction of suspension trainer until it is taut. Lean back at angle against support of belt and suspension trainer by stepping forward slightly while keeping head and body straight.
Front Raise,front raise,shoulders,push,barbell,beginner,False,False,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'serratus anterior']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']",Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.,Grasp barbell with overhand grip with elbows straight or slightly bent.
Military Press,military press,shoulders,push,barbell,advanced,True,True,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'triceps brachii', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press bar upward until arms are extended overhead. Lower to front of neck and repeat.,"Grasp barbell from rack orcleanbarbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck."
Military Press:  Seated,military press,shoulders,push,barbell,intermediate,True,True,True,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press bar upward until arms are extended overhead. Return to upper chest and repeat.,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.
Front Raise,front raise,shoulders,push,cable,beginner,False,False,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'serratus anterior']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']",Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.
Front Raise:  Alternating,front raise,shoulders,push,cable,beginner,False,False,True,['anterior deltoid'],"['pectoralis major', 'clavicular', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'serratus anterior']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']","Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.","Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent."
Front Raise:  One Arm,front raise,shoulders,push,cable,beginner,False,False,True,['anterior deltoid'],"['pectoralis major', 'clavicular', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'serratus anterior']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']",Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.,Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.
Shoulder Press,shoulder press,shoulders,push,cable,intermediate,True,True,False,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.
Shoulder Press:  Seated,shoulder press,shoulders,push,cable,intermediate,True,True,True,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.
Arnold Press,arnold press,shoulders,push,dumbbell,advanced,True,False,False,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists."
Front Raise,front raise,shoulders,push,dumbbell,beginner,False,False,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'serratus anterior']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']",Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.
Front Raise:  Alternating,front raise,shoulders,push,dumbbell,beginner,False,False,True,['anterior deltoid'],"['pectoralis major', 'clavicular', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'serratus anterior']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']","Raise one dumbbell forward and upward with palms positioned downward until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.",Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.
Shoulder Press,shoulder press,shoulders,push,dumbbell,intermediate,True,True,False,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations', 'pectoralis major', 'clavicular', 'coracobrachialis']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,Position dumbbells to each side of shoulders with elbows below wrists.
Shoulder Press:  One Arm,shoulder press,shoulders,push,dumbbell,intermediate,True,True,True,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations', 'pectoralis major', 'clavicular', 'coracobrachialis', 'obliques', 'psoas major', 'iliocastalis lumborum', 'iliocastalis thoracis']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat.,Stand with dumbbells positioned near shoulder with elbow below wrists.
Military Press,military press,shoulders,push,machine,advanced,True,True,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'triceps brachii', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press lever until arms are extended upward. Lower and repeat.,Set and grasp lever handles to each side with overhand grip.
Reclined Shoulder Press,reclined shoulder press,shoulders,push,machine,intermediate,True,True,False,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press lever until arms are extended. Lower and repeat.,Lie on back pad facing up. Grasp lever handles on each side with overhand grip.
Shoulder Press,shoulder press,shoulders,push,machine,intermediate,True,True,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'triceps brachii', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press lever upward until arms are extended overhead. Lower and repeat.,Set and grasp lever handles to each side with overhand grip.
Reclined Shoulder Press,reclined shoulder press,shoulders,push,lever (selectorized)​​​​​​​,intermediate,True,True,False,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press lever until arms are extended. Lower and repeat.,Lie on back pad facing up. Grasp lever handles to each side with overhand grip.
Shoulder Press,shoulder press,shoulders,push,lever (selectorized)​​​​​​​,intermediate,True,True,False,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'pectoralis major', 'clavicular', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press lever upward until arms are extended overhead. Lower and repeat.,Set and grasp lever handles to each side with overhand grip.
Shoulder Press:  Parallel Grip,shoulder press,shoulders,push,lever (selectorized)​​​​​​​,intermediate,True,True,True,['anterior deltoid'],"['pectoralis major', 'clavicular', 'triceps brachii', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press lever upward until arms are extended overhead. Lower and repeat.,Sit on seat and grasp parallel bar grips in front of shoulders on each side.
Shoulder Press,shoulder press,shoulders,push,machine,intermediate,True,True,False,['anterior deltoid'],"['deltoid', 'lateral', 'supraspinatus', 'pectoralis major', 'clavicular', 'triceps brachii', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press handles upward until arms are extended overhead. Lower and repeat.,Set and grasp lever handles to each side with overhand grip.
Shoulder Press,shoulder press,shoulders,push,smith machine,intermediate,True,True,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'triceps brachii', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae']",Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.,Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.
Pike Press (between benches),pike press (between benches),shoulders,push,bodyweight,advanced,True,False,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'triceps brachii', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae', 'serratus anterior', 'quadriceps', 'iliopsoas', 'tensor fasciae latae', 'sartorius', 'rectus abdominis', 'obliques']",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,"Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight."
Pike Press (between benches):  Elevated (between benches),pike press (between benches),shoulders,push,bodyweight,advanced,True,False,True,['anterior deltoid'],"['pectoralis major', 'clavicular', 'triceps brachii', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'triceps brachii']","['trapezius', 'upper', 'levator scapulae', 'quadriceps', 'iliopsoas', 'tensor fasciae latae', 'sartorius', 'rectus abdominis', 'obliques']",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,"Stand between two incline benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches and straighten arms. Position forefeet on opposite ends of bench. Raise rear end high up with arms, back, and knees straight."
Front Raise,front raise,shoulders,push,suspension trainer,beginner,False,False,False,['anterior deltoid'],"['pectoralis major', 'clavicular', 'deltoid', 'lateral', 'coracobrachialis', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['anterior deltoid', 'serratus anterior']","['erector spinae', 'gluteus maximus', 'hamstrings', 'trapezius', 'upper', 'levator scapulae', 'wrist extensors']",Raise arms upward overhead by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat.,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward."
Upright Row,upright row,shoulders,push,barbell,intermediate,True,False,False,['lateral deltoid'],"['deltoid', 'anterior', 'supraspinatus', 'brachialis', 'brachioradialis', 'biceps brachii', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations', 'infraspinatus', 'teres minor']","['lateral deltoid', 'upper trapezius']","['trapezius', 'upper', 'levator scapulae']",Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Grasp bar with shoulder width or slightly narrower overhand grip.
Lateral Raise,lateral raise,shoulders,push,cable,beginner,False,False,False,['lateral deltoid'],"['deltoid', 'anterior', 'supraspinatus', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'supraspinatus']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']","With elbows slightly bent, raise arms to sides   until elbows are shoulder height. Lower and repeat.","With low pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Stand upright."
Lateral Raise:  One Arm,lateral raise,shoulders,push,cable,beginner,False,False,True,['lateral deltoid'],"['deltoid', 'anterior', 'supraspinatus', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'supraspinatus']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors']","With elbow slightly bent, raise arm to side away from low pulley until elbow is shoulder height. Lower and repeat.",Grasp stirrup cable attachment. Stand facing with side of resting arm toward low pulley. Grasp ballet bar if available.
Upright Row,upright row,shoulders,push,cable,intermediate,True,False,False,['lateral deltoid'],"['deltoid', 'anterior', 'supraspinatus', 'brachialis', 'brachioradialis', 'biceps brachii', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations', 'infraspinatus', 'teres minor']","['lateral deltoid', 'upper trapezius']","['trapezius', 'upper', 'levator scapulae']",Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to pulley.
Upright Row:  One Arm,upright row,shoulders,push,cable,intermediate,True,False,True,['lateral deltoid'],"['deltoid', 'anterior', 'supraspinatus', 'brachialis', 'brachioradialis', 'biceps brachii', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations', 'infraspinatus', 'teres minor']","['lateral deltoid', 'upper trapezius']","['trapezius', 'upper', 'levator scapulae']",Pull stirup to front side of shoulder with elbow leading. Allow wrist to flex as stirrup is lifted. Lower and repeat.,"Grasp stirrup on low pulley with overhand grip. Stand with side of arm with stirup away from pulley machine, arm against front of body. Place other hand on ballet bar or side of pulley column for support."
Upright Row:  with rope,upright row,shoulders,push,cable,intermediate,True,False,True,['lateral deltoid'],"['deltoid', 'anterior', 'supraspinatus', 'brachialis', 'brachioradialis', 'biceps brachii', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations', 'infraspinatus', 'teres minor']","['lateral deltoid', 'upper trapezius']","['trapezius', 'upper', 'levator scapulae']",Pull rope ends to front of shoulders with elbows leading. Allow wrists to flex as stirrups are lifted. Lower and repeat.,"Grasp each side of rope with overhand grip, just under rope ends. Stand close to pulley."
Y Raise,y raise,shoulders,push,cable,intermediate,False,False,False,['lateral deltoid'],"['supraspinatus', 'teres minor', 'infraspinatus', 'trapezius', 'lower', 'trapezius', 'middle', 'serratus anterior', 'inferior digitations', 'deltoid', 'anterior', 'deltoid', 'posterior', 'coracobrachialis']","['posterior deltoid', 'lower trapezius']","['trapezius', 'upper', 'levator scapulae', 'wrist extensors', 'erector spinae', 'gluteus maximus', 'hamstrings']","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.","Stand facing between low pulleys medium width apart, grasp left stirrup with right hand and right stirrup with left hand. Step back slightly away from pulleys and stand upright with cables crossed in front of hips."
Incline Lateral Raise,incline lateral raise,shoulders,push,dumbbell,intermediate,False,False,False,['lateral deltoid'],"['deltoid', 'posterior', 'supraspinatus', 'trapezius', 'middle', 'trapezius', 'lower', 'serratus anterior', 'inferior digitations']","['lateral deltoid', 'supraspinatus']","['wrist extensors', 'trapezius', 'upper', 'levator scapulae']","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.","Grasp dumbbell in one hand. Lie on 30° to 45° incline bench with opposite side of body on incline, arm over top of bench, lower leg positioned on front side of seat, and upper leg on back side of seat. Position dumbbell inside of lower leg, just in front of upper leg."
